company_id,company_name,cluster_id,cluster_name,distance_from_centroid
ABB,Abbott India Ltd,4,Turnaround,0.23366887496256206
ADANIENSOL,Adani Energy Solutions Ltd,4,Turnaround,0.7874438340968101
ADANIENT,Adani Enterprises Ltd,4,Turnaround,0.34774267035321094
ADANIGREEN,Adani Green Energy Ltd,3,Defensive,0.6711254057551559
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",4,Turnaround,0.09381037010960484
ADANIPOWER,Adani Power Ltd,4,Turnaround,0.06727837350041445
AMBUJACEM,Ambuja Cements Ltd,4,Turnaround,0.2353765624729304
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",4,Turnaround,0.04556315727961196
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",4,Turnaround,0.19555871559263321
AXISBANK,Axis Bank Ltd,3,Defensive,1.941332228178416
